game,difficulty,model,model_short,provider,timestamp,total_score,Executability,Executability Contribution,Functionality,Functionality Contribution,Code Quality,Code Quality Contribution,UX,UX Contribution
snake,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260408_203425,0.745,1.0,0.3,0.7,0.24499999999999997,0.4,0.08000000000000002,0.8,0.12
snake,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260408_203425,0.24499999999999997,0.0,0.0,0.7,0.24499999999999997,0.0,0.0,0.0,0.0
snake,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260408_203425,0.7689999999999999,1.0,0.3,0.7,0.24499999999999997,0.64,0.128,0.64,0.096
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260408_203425,0.7514999999999998,1.0,0.3,0.7,0.24499999999999997,0.47,0.094,0.75,0.11249999999999999
flappy_bird,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260408_203425,0.46299999999999997,0.0,0.0,0.7,0.24499999999999997,0.64,0.128,0.6,0.09
flappy_bird,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260408_203425,0.7979999999999999,1.0,0.3,0.7,0.24499999999999997,0.62,0.124,0.86,0.129
dodge_blocks,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260408_203425,0.7549999999999999,1.0,0.3,0.7,0.24499999999999997,0.45,0.09000000000000001,0.8,0.12
dodge_blocks,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260408_203425,0.8039999999999999,1.0,0.3,0.7,0.24499999999999997,0.65,0.13,0.86,0.129
dodge_blocks,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260408_203425,0.7919999999999999,1.0,0.3,0.7,0.24499999999999997,0.53,0.10600000000000001,0.94,0.141
maze_runner,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260408_203425,0.7529999999999999,1.0,0.3,0.7,0.24499999999999997,0.44,0.08800000000000001,0.8,0.12
maze_runner,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260408_203425,0.475,0.0,0.0,0.7,0.24499999999999997,0.82,0.164,0.44,0.066
maze_runner,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260408_203425,0.48400000000000004,0.0,0.0,0.7,0.24499999999999997,0.79,0.15800000000000003,0.54,0.081
pong,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260408_203425,0.7965,1.0,0.3,0.7,0.24499999999999997,0.59,0.118,0.89,0.1335
pong,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260408_203425,0.454,0.0,0.0,0.7,0.24499999999999997,0.67,0.134,0.5,0.075
pong,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260408_203425,0.819,1.0,0.3,0.7,0.24499999999999997,0.77,0.15400000000000003,0.8,0.12
breakout,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260408_203425,0.7589999999999999,1.0,0.3,0.7,0.24499999999999997,0.47,0.094,0.8,0.12
breakout,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260408_203425,0.8029999999999999,1.0,0.3,0.7,0.24499999999999997,0.69,0.13799999999999998,0.8,0.12
tetris,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260408_203425,0.408,0.0,0.0,0.7,0.24499999999999997,0.5,0.1,0.42,0.063
tetris,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260408_203425,0.24499999999999997,0.0,0.0,0.7,0.24499999999999997,0.0,0.0,0.0,0.0
tetris,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260408_203425,0.7839999999999999,1.0,0.3,0.7,0.24499999999999997,0.55,0.11000000000000001,0.86,0.129
space_invaders,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260408_203425,0.7439999999999999,1.0,0.3,0.7,0.24499999999999997,0.59,0.118,0.54,0.081
space_invaders,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260408_203425,0.7889999999999999,1.0,0.3,0.7,0.24499999999999997,0.62,0.124,0.8,0.12
space_invaders,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260408_203425,0.8119999999999999,1.0,0.3,0.7,0.24499999999999997,0.69,0.13799999999999998,0.86,0.129
platformer,hard,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260408_203425,0.24499999999999997,0.0,0.0,0.7,0.24499999999999997,0.0,0.0,0.0,0.0
platformer,hard,deepseek.v3.2,DeepSeek V3.2,bedrock,20260408_203425,0.7865,1.0,0.3,0.7,0.24499999999999997,0.72,0.144,0.65,0.0975
platformer,hard,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260408_203425,0.46399999999999997,0.0,0.0,0.7,0.24499999999999997,0.6,0.12,0.66,0.099
roguelike_dungeon,hard,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260408_203425,0.446,0.0,0.0,0.7,0.24499999999999997,0.6,0.12,0.54,0.081
roguelike_dungeon,hard,deepseek.v3.2,DeepSeek V3.2,bedrock,20260408_203425,0.45499999999999996,0.0,0.0,0.7,0.24499999999999997,0.6,0.12,0.6,0.09
roguelike_dungeon,hard,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260408_203425,0.44899999999999995,0.0,0.0,0.7,0.24499999999999997,0.57,0.11399999999999999,0.6,0.09
